Name,Created at,Subtotal,Taxes,Total,Currency,Financial Status,Shipping Country
#1001,2024-03-15 10:30:00,120.00,24.00,144.00,EUR,paid,FR
#1002,2024-03-15 14:22:00,89.99,17.10,107.09,EUR,paid,DE
#1003,2024-03-16 09:15:00,250.00,52.50,302.50,EUR,paid,ES
#1004,2024-03-16 11:00:00,45.00,9.90,54.90,EUR,paid,IT
#1005,2024-03-17 08:45:00,75.00,15.75,90.75,EUR,paid,BE
#1006,2024-03-17 16:30:00,180.00,36.00,216.00,EUR,paid,FR
#1007,2024-03-18 10:00:00,60.00,12.60,72.60,GBP,paid,GB
#1008,2024-03-18 14:15:00,35.00,7.00,42.00,EUR,refunded,DE
#1009,2024-03-19 09:00:00,150.00,37.50,187.50,EUR,paid,SE
#1010,2024-03-19 11:30:00,95.00,19.95,114.95,EUR,paid,NL
